MiNg_100_CAISO,MiNg_150_CAISO,MiNg_100_ERCOT,MiNg_150_ERCOT,MiNg_100_MISO-W,MiNg_150_MISO-W,MiNg_100_NYISO,MiNg_150_NYISO,MiNg_100_PJM-W,MiNg_150_PJM-W,BaseCaseTax,HighWindTax,HighSolarTax,WinterNYTax
89.85,110.3,0.11,0.06,54.53,0.21,1.36,0.12,13.19,0.11,9.19,0,46.68,54.2
89.85,110.29,0,0.03,0,0,1.36,0.12,7.45,0.08,46.68,0,46.68,55.98
89.85,110.29,0,0.03,0,0,1.36,0.12,7.38,0.06,46.68,0,62.25,139.62
89.84,110.28,0,0.03,0,0,1.36,0.12,7.36,0.06,54.2,9.19,62.25,59.15
89.81,110.29,0.03,0.04,0,0,1.36,0.12,7.25,0.06,54.2,9.19,62.25,59.15
89.01,110.29,0.03,0.04,0,0,1.36,0.12,7.2,0.06,54.2,9.19,62.25,55.98
88.75,110.3,0.03,0.04,0,0,1.36,0.12,7.06,0.06,54.2,43.32,62.25,54.2
88.74,110.3,0,0.03,0,0,1.36,0.12,7.08,0.06,54.2,46.68,62.25,55.98
89.06,110.3,0,0.03,0,0,0,0,6.84,0,54.2,46.68,62.25,55.98
89.28,110.32,0,0,0,0,0,0,0,0,69.24,46.68,98.08,55.98
88.26,102.56,0,0,0,0,0,0,0,0,46.68,46.68,46.68,54.2
0.06,0,0,0,0,0,0,0,0,0,46.68,46.68,46.68,9.19
0,0,0,0,0,0,0,0,0,0,46.68,46.68,46.68,9.19
0.06,0,0,0,0,0,0,0,5.12,0,46.68,46.68,9.19,9.19
0.06,0,0,0,0,0,0,0,5.67,0,46.68,46.68,9.19,9.19
0.06,0,0,0,0,0,0,0,0,0,46.68,46.68,1.18,32.64
0.06,0,0,0,0,0,0,0,0,0,46.68,46.68,0,54.2
0.06,0,0,0,0,0,0.09,0,6.87,8.88,46.68,46.68,18.39,54.2
0.06,0,0.19,0.2,0.06,0,0.09,0,7.5,9.65,46.68,46.68,46.68,54.2
91.15,105.25,0.19,0.2,0.06,0,0.09,0,7.55,9.68,54.2,46.68,54.2,61.84
93.89,110.3,0.19,0.2,0.04,0,0.06,0,7.67,10.16,54.2,46.68,54.2,83.25
93.89,110.3,0.19,0.2,0.01,0,0,0,7.78,10.04,54.2,46.68,54.2,83.25
